category_id,category_level_1,category_level_2,category_level_3,category_type,blacklist_reason,ss_category_id,andele_category_id
CM00083,Elektrotehnika,"Audio, Video, DVD, SAT",Aksesuāri,normal,,SS00083,AM00001
CM00084,Elektrotehnika,"Audio, Video, DVD, SAT",Ierīkošana,blacklisted,services,SS00084,AM00001
CM00085,Elektrotehnika,"Audio, Video, DVD, SAT","Satelītantenas, satelītšķīvji",normal,,SS00085,AM00001
CM00086,Elektrotehnika,"Audio, Video, DVD, SAT",Satelītu TV komplekti,normal,,SS00086,AM00001
CM00087,Elektrotehnika,"Audio, Video, DVD, SAT","Uztvērēji, dekoderi",normal,,SS00087,AM00001
CM00088,Elektrotehnika,"Audio, Video, DVD, SAT",Cits,normal,,SS00088,AM00005
CM00089,Elektrotehnika,"Audio, Video, DVD, SAT","Aksesuāri, elektronikas remonts",blacklisted,repairs,SS00089,
CM00090,Elektrotehnika,"Audio, Video, DVD, SAT",Radio detaļas,blacklisted,non-item listings,SS00090,
CM00091,Elektrotehnika,"Audio, Video, DVD, SAT",Datoru remonts,blacklisted,repairs,SS00091,
CM00092,Elektrotehnika,"Audio, Video, DVD, SAT",Elektronīkas remonts,blacklisted,repairs,SS00092,
CM00093,Elektrotehnika,"Audio, Video, DVD, SAT",Hidroelektrostacijas,blacklisted,repairs,SS00093,
CM00094,Elektrotehnika,"Audio, Video, DVD, SAT",Saules elektrostacijas,blacklisted,repairs,SS00094,
CM00095,Elektrotehnika,"Audio, Video, DVD, SAT",Vēja ģeneratori,blacklisted,repairs,SS00095,
CM00096,Elektrotehnika,"Audio, Video, DVD, SAT",Dažādi,normal,,SS00096,AM00001
CM00097,Elektrotehnika,Televizori,Krāsainie (vienkāršie) televizori,normal,,SS00097,AM00071
CM00098,Elektrotehnika,Televizori,LCD televizori,normal,,SS00098,AM00071
CM00099,Elektrotehnika,Televizori,LED televizori,normal,,SS00099,AM00071
CM00100,Elektrotehnika,Televizori,Melnbaltie televizori,normal,,SS00100,AM00071
CM00101,Elektrotehnika,Televizori,Plazmas televizori,normal,,SS00101,AM00071
CM00102,Elektrotehnika,Televizori,Projektori,normal,,SS00102,AM00071
CM00103,Elektrotehnika,Televizori,Projektoru ekrāni,normal,,SS00103,AM00071
CM00104,Elektrotehnika,Televizori,Satelīta televīzija,normal,,SS00104,AM00071
CM00105,Elektrotehnika,Televizori,Kabeļi un aksesuāri,normal,,SS00105,AM00071
CM00106,Elektrotehnika,Televizori,"Kronšteini, stiprinājumi",normal,,SS00106,AM00071
CM00107,Elektrotehnika,Televizori,Tālvadības pultis,normal,,SS00107,AM00071
CM00108,Elektrotehnika,Televizori,TV konsoles,normal,,SS00108,AM00071
CM00109,Elektrotehnika,Televizori,Dažādi,normal,,SS00109,AM00071
CM00110,Elektrotehnika,Foto un optika,Ciparu fotokameras,normal,,SS00110,AM00033
CM00111,Elektrotehnika,Foto un optika,Spoguļkameras,normal,,SS00111,AM00032
CM00112,Elektrotehnika,Foto un optika,Filmu fotokameras,normal,,SS00112,AM00035
CM00113,Elektrotehnika,Foto un optika,Objektīvi,normal,,SS00113,AM00036
CM00114,Elektrotehnika,Foto un optika,Akumulatori,normal,,SS00114,AM00032
CM00115,Elektrotehnika,Foto un optika,"Akumulatori ""pirkstipa"" tipa",normal,,SS00115,AM00032
CM00116,Elektrotehnika,Foto un optika,Lādētāji,normal,,SS00116,AM00068
CM00117,Elektrotehnika,Foto un optika,Aksesuāri,normal,,SS00117,AM00032
CM00118,Elektrotehnika,Foto un optika,Digitālo fotokameru atmiņas,normal,,SS00118,AM00032
CM00119,Elektrotehnika,Foto un optika,Tālskati un teleskopi,normal,,SS00119,AM00032
CM00120,Elektrotehnika,Foto un optika,Zibspuldze un apgaismojums,normal,,SS00120,AM00032
CM00121,Elektrotehnika,Foto un optika,Somas,normal,,SS00121,AM00032
CM00122,Elektrotehnika,Foto un optika,Fotopapīrs,normal,,SS00122,AM00032
CM00123,Elektrotehnika,Foto un optika,Statīvi un šasijas,normal,,SS00123,AM00032
CM00124,Elektrotehnika,Foto un optika,Dažādi,normal,,SS00124,AM00032
CM00125,Elektrotehnika,Foto un optika,Fotogrāfu pakalpojumi,blacklisted,services,SS00125,AM00032
CM00126,Elektrotehnika,Foto un optika,Fototehnikas noma,blacklisted,rentals,SS00126,AM00032
CM00127,Elektrotehnika,Foto un optika,Video operatora pakalpojumi,blacklisted,services,SS00127,AM00032
CM00128,Elektrotehnika,"Baterijas, Akumulatori",Baterijas,normal,,SS00128,AM00001
CM00129,Elektrotehnika,"Baterijas, Akumulatori","Akumulatori ""pirkstipa"" tipa",normal,,SS00129,AM00001
CM00130,Elektrotehnika,"Baterijas, Akumulatori",Akumulatori automobiļiem,normal,,SS00130,AM00001
CM00131,Elektrotehnika,"Baterijas, Akumulatori",Akumulatori darbarikiem,normal,,SS00131,AM00001
CM00132,Elektrotehnika,"Baterijas, Akumulatori",Akumulatori elektromobiļiem,normal,,SS00132,AM00001
CM00133,Elektrotehnika,"Baterijas, Akumulatori",Akumulatori foto un video tehnikai,normal,,SS00133,AM00001
CM00134,Elektrotehnika,"Baterijas, Akumulatori",Akumulatori piezīmjdatoriem,normal,,SS00134,AM00018
